id,title,genres,language,user_score,runtime_hour,runtime_min,release_date,vote_count,director,top_billed,budget_usd,revenue_usd
1,The Shawshank Redemption,"Drama, Crime",en,8.7,2,22,1994-09-23,27070,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler, Clancy Brown",25000000.0,28341469.0
2,The Godfather,"Drama, Crime",en,8.7,2,55,1972-03-14,20563,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan, Robert Duvall, Richard S. Castellano",6000000.0,245066411.0
3,The Godfather Part II,"Drama, Crime",en,8.6,3,22,1974-12-20,12403,Francis Ford Coppola,"Al Pacino, Robert Duvall, Diane Keaton, Robert De Niro, John Cazale",13000000.0,102600000.0
4,Schindler's List,"Drama, History, War",en,8.6,3,15,1993-12-15,15810,Steven Spielberg,"Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall, Jonathan Sagall",22000000.0,321365567.0
5,12 Angry Men,Drama,en,8.5,1,37,1957-04-10,8611,Sidney Lumet,"Martin Balsam, John Fiedler, Lee J. Cobb, E.G. Marshall, Jack Klugman",397751.0,4360000.0
6,Spirited Away,"Animation, Family, Fantasy",ja,8.5,2,5,2001-07-20,16462,Hayao Miyazaki,"Rumi Hiiragi, Miyu Irino, Mari Natsuki, Takashi Naito, Yasuko Sawaguchi",19000000.0,274925095.0
7,The Wild Robot,"Animation, Science Fiction, Family",en,8.5,1,42,2024-09-12,2593,Chris Sanders,"Lupita Nyong'o, Pedro Pascal, Kit Connor, Bill Nighy, Stephanie Hsu",78000000.0,271583746.0
8,Dilwale Dulhania Le Jayenge,"Comedy, Drama, Romance",hi,8.5,3,10,1995-10-20,4434,Aditya Chopra,"Kajol, Shah Rukh Khan, Amrish Puri, Farida Jalal, Anupam Kher",13200000.0,100000000.0
9,The Dark Knight,"Drama, Action, Crime, Thriller",en,8.5,2,32,2008-07-16,32816,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine, Maggie Gyllenhaal",185000000.0,1004558444.0
10,The Green Mile,"Fantasy, Drama, Crime",en,8.5,3,9,1999-12-10,17376,Frank Darabont,"Tom Hanks, David Morse, Bonnie Hunt, Michael Clarke Duncan, James Cromwell",60000000.0,286801374.0
11,Parasite,"Comedy, Thriller, Drama",ko,8.5,2,13,2019-05-30,18215,Bong Joon-ho,"Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong, Choi Woo-shik, Park So-dam",11363000.0,257591776.0
12,Pulp Fiction,"Thriller, Crime",en,8.5,2,34,1994-09-10,27853,Quentin Tarantino,"John Travolta, Samuel L. Jackson, Uma Thurman, Bruce Willis, Ving Rhames",8500000.0,213928762.0
13,Your Name.,"Animation, Romance, Drama",ja,8.5,1,46,2016-08-26,11341,Makoto Shinkai,"Ryunosuke Kamiki, Mone Kamishiraishi, Ryo Narita, Aoi Yuki, Nobunaga Shimazaki",0.0,358000000.0
14,The Lord of the Rings: The Return of the King,"Adventure, Fantasy, Action",en,8.5,3,21,2003-12-17,24151,Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen, Sean Astin, Andy Serkis",94000000.0,1118888979.0
15,Forrest Gump,"Comedy, Drama, Romance",en,8.5,2,22,1994-06-23,27384,Robert Zemeckis,"Tom Hanks, Robin Wright, Gary Sinise, Sally Field, Mykelti Williamson",55000000.0,677387716.0
16,Seven Samurai,"Action, Drama",ja,8.5,3,27,1954-04-26,3660,Akira Kurosawa,"Toshirō Mifune, Takashi Shimura, Yoshio Inaba, Seiji Miyaguchi, Minoru Chiaki",2000000.0,2626918.0
17,"The Good, the Bad and the Ugly",Western,it,8.5,2,41,1966-12-22,8584,Sergio Leone,"Clint Eastwood, Eli Wallach, Lee Van Cleef, Aldo Giuffrè, Luigi Pistilli",1200000.0,38900000.0
18,GoodFellas,"Drama, Crime",en,8.5,2,25,1990-09-12,12824,Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco, Paul Sorvino",25000000.0,46800000.0
19,Grave of the Fireflies,"Animation, Drama, War",ja,8.5,1,29,1988-04-16,5536,Isao Takahata,"Tsutomu Tatsumi, Ayano Shiraishi, Yoshiko Shinohara, Akemi Yamaguchi, Masayo Sakai",3700000.0,516962.0
20,Cinema Paradiso,"Drama, Romance",it,8.5,2,4,1988-11-17,4354,Giuseppe Tornatore,"Philippe Noiret, Jacques Perrin, Marco Leonardi, Salvatore Cascio, Agnese Nano",5000000.0,11990401.0
21,Life Is Beautiful,"Comedy, Drama",it,8.4,1,56,1997-12-20,12998,Roberto Benigni,"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano, Sergio Bini Bustric",20000000.0,230098753.0
22,Interstellar,"Adventure, Drama, Science Fiction",en,8.4,2,49,2014-11-05,35515,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Michael Caine, Jessica Chastain, Casey Affleck",165000000.0,701729206.0
23,Fight Club,Drama,en,8.4,2,19,1999-10-15,29324,David Fincher,"Edward Norton, Brad Pitt, Helena Bonham Carter, Meat Loaf, Jared Leto",63000000.0,100853753.0
24,Impossible Things,"Family, Drama",es,8.4,1,28,2021-06-17,387,Ernesto Contreras,"Nora Velázquez, Benny Emmanuel, Luisa Huertas, Salvador Garcini, Andrés Delgado",0.0,0.0
25,Psycho,"Horror, Thriller, Mystery",en,8.4,1,49,1960-06-22,10027,Alfred Hitchcock,"Anthony Perkins, Janet Leigh, Vera Miles, John Gavin, Martin Balsam",806947.0,32000000.0
26,City of God,"Drama, Crime",pt,8.4,2,9,2002-08-30,7361,Fernando Meirelles,"Alexandre Rodrigues, Leandro Firmino, Phellipe Haagensen, Douglas Silva, Jonathan Haagensen",3300000.0,30641770.0
27,The Lord of the Rings: The Fellowship of the Ring,"Adventure, Fantasy, Action",en,8.4,2,59,2001-12-18,25089,Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen, Sean Astin, Ian Holm",93000000.0,871368364.0
28,One Flew Over the Cuckoo's Nest,Drama,en,8.4,2,13,1975-11-19,10402,Miloš Forman,"Jack Nicholson, Brad Dourif, Louise Fletcher, Danny DeVito, William Redfield",3000000.0,108981275.0
29,Once Upon a Time in America,"Drama, Crime",en,8.4,3,49,1984-05-23,5368,Sergio Leone,"Robert De Niro, James Woods, Elizabeth McGovern, Treat Williams, Tuesday Weld",30000000.0,5500000.0
30,Gabriel's Inferno,"Romance, Drama",en,8.4,2,2,2020-05-29,2410,Tosca Musk,"Melanie Zanetti, Giulio Berruti, Kurt McKinney, Agnes Albright, Margaux Brooke",0.0,0.0
31,A Dog's Will,"Comedy, Drama, Fantasy",pt,8.4,1,44,2000-09-15,1093,Guel Arraes,"Matheus Nachtergaele, Selton Mello, Rogério Cardoso, Denise Fraga, Diogo Vilela",0.0,4903192.0
32,Harakiri,"Action, Drama, History",ja,8.4,2,15,1962-09-15,990,Masaki Kobayashi,"Tatsuya Nakadai, Akira Ishihama, Shima Iwashita, Tetsuro Tamba, Masao Mishima",0.0,0.0
33,Primal: Tales of Savagery,"Action, Adventure, Animation, Drama",en,8.4,1,25,2019-11-21,315,Genndy Tartakovsky,"Aaron LaPlante, Jon Olson, Bryan Andrews, Darrick Bachman",0.0,0.0
34,Howl's Moving Castle,"Fantasy, Animation, Adventure",ja,8.4,1,59,2004-09-09,9852,Hayao Miyazaki,"Chieko Baisho, Takuya Kimura, Akihiro Miwa, Tatsuya Gashûin, Ryunosuke Kamiki",24000000.0,236049757.0
35,The Lord of the Rings: The Two Towers,"Adventure, Fantasy, Action",en,8.4,2,59,2002-12-18,21798,Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen, Sean Astin, Andy Serkis",79000000.0,926287400.0
36,Spider-Man: Into the Spider-Verse,"Animation, Action, Adventure, Science Fiction",en,8.4,1,57,2018-12-06,15552,Bob Persichetti,"Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali, Brian Tyree Henry",90000000.0,384298736.0
37,Hope,Drama,ko,8.4,2,2,2013-10-02,729,Lee Joon-ik,"Sul Kyung-gu, Uhm Ji-won, Lee Re, Kim Sang-ho, Kim Hae-sook",0.0,0.0
38,The Empire Strikes Back,"Adventure, Action, Science Fiction",en,8.4,2,4,1980-05-20,16887,Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams, Anthony Daniels",18000000.0,538400000.0
39,Gabriel's Inferno: Part II,"Romance, Drama",en,8.4,1,45,2020-07-31,1513,Tosca Musk,"Melanie Zanetti, Giulio Berruti, James Andrew Fraser, Margaux Brooke, Agnes Albright",0.0,0.0
40,Dou kyu sei – Classmates,"Romance, Animation",ja,8.4,1,1,2016-02-20,382,Shoko Nakamura,"Kenji Nojima, Hiroshi Kamiya, Hideo Ishikawa, Yurino",0.0,0.0
41,Gabriel's Inferno: Part III,"Romance, Drama",en,8.4,1,45,2020-11-19,1053,Tosca Musk,"Melanie Zanetti, Giulio Berruti, Rhett Wellington Ramirez, James Andrew Fraser, Margaux Brooke",0.0,0.0
42,A Silent Voice: The Movie,"Animation, Drama",ja,8.4,2,9,2016-09-17,3938,Naoko Yamada,"Miyu Irino, Saori Hayami, Aoi Yuki, Kensho Ono, Yuki Kaneko",0.0,30504476.0
43,Whiplash,"Drama, Music",en,8.4,1,47,2014-10-10,15034,Damien Chazelle,"Miles Teller, J.K. Simmons, Paul Reiser, Melissa Benoist, Austin Stowell",3300000.0,50307484.0
44,The Pianist,"Drama, War",en,8.4,2,30,2002-09-17,9136,Roman Polanski,"Adrien Brody, Thomas Kretschmann, Frank Finlay, Maureen Lipman, Emilia Fox",35000000.0,120098945.0
45,Se7en,"Crime, Mystery, Thriller",en,8.4,2,7,1995-09-22,20934,David Fincher,"Morgan Freeman, Brad Pitt, Gwyneth Paltrow, John Cassini, Peter Crombie",33000000.0,327311859.0
46,Radical,Drama,es,8.4,2,6,2023-10-19,416,Christopher Zalla,"Eugenio Derbez, Daniel Haddad, Jennifer Trejo, Mia Fernanda Solis, Danilo Guardiola Escobar",10000000.0,21761164.0
47,Inception,"Action, Science Fiction, Adventure",en,8.4,2,28,2010-07-15,36495,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ken Watanabe, Tom Hardy, Elliot Page",160000000.0,825532764.0
48,The Legend of Hei,"Animation, Fantasy, Action",zh,8.4,1,42,2019-08-27,364,MTJJ,"Shan Xin, Liu Mingyue, Hao Xianghai, Ding Dang, Yuntu Cao",0.0,48045728.0
49,Spider-Man: Across the Spider-Verse,"Animation, Action, Adventure, Science Fiction",en,8.4,2,20,2023-05-31,6915,Kemp Powers,"Shameik Moore, Hailee Steinfeld, Brian Tyree Henry, Luna Lauren Velez, Jake Johnson",100000000.0,690897910.0
50,TAYLOR SWIFT | THE ERAS TOUR,Music,en,8.4,2,49,2023-10-13,397,Sam Wrench,"Taylor Swift, Mike Meadows, Max Bernstein, Paul Sidoti, Amos Heller",15000000.0,261656269.0
51,Rear Window,"Thriller, Mystery",en,8.4,1,52,1954-08-01,6453,Alfred Hitchcock,"James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter, Raymond Burr",1000000.0,37042336.0
52,The Silence of the Lambs,"Crime, Drama, Thriller",en,8.3,1,59,1991-02-14,16228,Jonathan Demme,"Jodie Foster, Anthony Hopkins, Scott Glenn, Ted Levine, Anthony Heald",19000000.0,272742922.0
53,Taylor Swift: Reputation Stadium Tour,Music,en,8.3,2,5,2018-12-31,382,Paul Dugdale,"Taylor Swift, Charli xcx, Camila Cabello, David Cook, Amos Heller",0.0,0.0
54,American History X,Drama,en,8.3,1,59,1998-07-01,11497,Tony Kaye,"Edward Norton, Edward Furlong, Beverly D'Angelo, Jennifer Lien, Ethan Suplee",20000000.0,23900000.0
55,Princess Mononoke,"Adventure, Fantasy, Animation",ja,8.3,2,14,1997-07-12,7969,Hayao Miyazaki,"Youji Matsuda, Yuriko Ishida, Yuko Tanaka, Kaoru Kobayashi, Masahiko Nishimura",23500000.0,169000000.0
56,High and Low,"Drama, Crime, Mystery",ja,8.3,2,22,1963-03-01,900,Akira Kurosawa,"Toshirō Mifune, Tatsuya Nakadai, Kyōko Kagawa, Tatsuya Mihashi, Isao Kimura",250000.0,0.0
57,The Quintessential Quintuplets Movie,"Animation, Comedy, Romance",ja,8.3,2,16,2022-05-20,382,Masato Jimbo,"Yoshitsugu Matsuoka, Kana Hanazawa, Ayana Taketatsu, Miku Ito, Ayane Sakura",0.0,17288993.0
58,A Brighter Summer Day,"Crime, Drama, Romance",zh,8.3,3,57,1991-07-27,314,Edward Yang,"Chang Chen, Lisa Yang, Kuo-Chu Chang, Elaine Jin, Chuan Wang",0.0,0.0
59,Back to the Future,"Adventure, Comedy, Science Fiction",en,8.3,1,56,1985-07-03,19840,Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Crispin Glover, Lea Thompson, Claudia Wells",19000000.0,381109762.0
60,Once Upon a Studio,"Animation, Family, Fantasy, Comedy",en,8.3,0,9,2023-09-24,352,Trent Correy,"Chris Diamantopoulos, Kaitlyn Robrock, Tony Anselmo, Bill Farmer, Jim Cummings",0.0,0.0
61,Perfect Blue,"Animation, Thriller",ja,8.3,1,22,1998-02-28,2633,Satoshi Kon,"Junko Iwao, Rica Matsumoto, Shiho Niiyama, Masaaki Okura, Shinpachi Tsuji",830000.0,112536.0
62,Hotarubi no Mori e,"Romance, Animation, Fantasy",ja,8.3,0,45,2011-09-17,1101,Takahiro Omori,"Izumi Sawada, Hayato Taya, Ayane Sakura, Koki Uchiyama, Shinpachi Tsuji",0.0,0.0
63,Sunset Boulevard,Drama,en,8.3,1,50,1950-08-10,2561,Billy Wilder,"William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson, Fred Clark",1752000.0,5000000.0
64,Dead Poets Society,Drama,en,8.3,2,8,1989-06-02,11204,Peter Weir,"Robin Williams, Robert Sean Leonard, Ethan Hawke, Josh Charles, Gale Hansen",16400000.0,235900000.0
65,Léon: The Professional,"Crime, Drama, Action",en,8.3,1,51,1994-09-14,14719,Luc Besson,"Jean Reno, Natalie Portman, Gary Oldman, Danny Aiello, Peter Appel",16000000.0,45284974.0
66,Dedicated to my ex,"Drama, Comedy",es,8.3,1,34,2019-11-01,501,Jorge Ulloa,"Raúl Santana, Nataly Valencia, Carlos Alcántara, Biassini Segura, Mariana Treviño",0.0,1315376.0
67,The Great Dictator,"Comedy, War",en,8.3,2,5,1940-10-15,3353,Charlie Chaplin,"Charlie Chaplin, Paulette Goddard, Jack Oakie, Reginald Gardiner, Henry Daniell",2000000.0,11000000.0
68,The Count of Monte-Cristo,"Action, Adventure, Drama, History, Romance, Thriller",fr,8.3,2,58,2024-06-28,772,Alexandre de La Patellière,"Pierre Niney, Bastien Bouillon, Anaïs Demoustier, Anamaria Vartolomei, Laurent Lafitte",46700000.0,73924182.0
69,Neon Genesis Evangelion: The End of Evangelion,"Animation, Science Fiction, Action, Drama",ja,8.3,1,27,1997-07-19,1590,Kazuya Tsurumaki,"Megumi Ogata, Megumi Hayashibara, Kotono Mitsuishi, Yuko Miyamura, Fumihiko Tachiki",0.0,20563523.0
70,Ikiru,Drama,ja,8.3,2,23,1952-10-09,1126,Akira Kurosawa,"Takashi Shimura, Haruo Tanaka, Nobuo Kaneko, Bokuzen Hidari, Miki Odagiri",0.0,55240.0
71,Modern Times,"Comedy, Drama, Romance",en,8.3,1,27,1936-02-05,3676,Charlie Chaplin,"Charlie Chaplin, Paulette Goddard, Henry Bergman, Tiny Sandford, Chester Conklin",1500000.0,1800000.0
72,Once Upon a Time in the West,"Drama, Western",it,8.3,2,46,1968-12-21,4312,Sergio Leone,"Claudia Cardinale, Henry Fonda, Jason Robards, Charles Bronson, Gabriele Ferzetti",5000000.0,5380118.0
73,City Lights,"Comedy, Drama, Romance",en,8.3,1,27,1931-02-06,2152,Charlie Chaplin,"Charlie Chaplin, Virginia Cherrill, Florence Lee, Harry Myers, Al Ernest Garcia",1500000.0,4250000.0
74,The Intouchables,"Drama, Comedy",fr,8.3,1,53,2011-11-02,17150,Olivier Nakache,"François Cluzet, Omar Sy, Dominique Henry, Anne Le Ny, Clotilde Mollet",13000000.0,426590315.0
75,Apocalypse Now,"Drama, War",en,8.3,2,27,1979-08-15,8184,Francis Ford Coppola,"Martin Sheen, Frederic Forrest, Albert Hall, Laurence Fishburne, Sam Bottoms",31500000.0,150000000.0
76,It's a Wonderful Life,"Drama, Family, Fantasy",en,8.3,2,10,1946-12-20,4256,Frank Capra,"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell, Henry Travers",3180000.0,9644124.0
77,Violet Evergarden: The Movie,"Animation, Fantasy, Romance, Drama",ja,8.3,2,20,2020-09-18,404,Taichi Ishidate,"Yui Ishikawa, Daisuke Namikawa, Takehito Koyasu, Hidenobu Kiuchi, Haruka Tomatsu",0.0,20339624.0
78,Paths of Glory,"War, Drama, History",en,8.3,1,28,1957-10-25,2886,Stanley Kubrick,"Kirk Douglas, Ralph Meeker, Adolphe Menjou, George Macready, Wayne Morris",935000.0,1200000.0
79,"The Boy, the Mole, the Fox and the Horse","Animation, Family, Adventure, Fantasy",en,8.3,0,35,2022-12-25,565,Charlie Mackesy,"Jude Coward Nicoll, Tom Hollander, Idris Elba, Gabriel Byrne",0.0,0.0
80,"Josee, the Tiger and the Fish","Animation, Drama, Romance",ja,8.3,1,38,2020-12-25,462,Kotaro Tamura,"Taishi Nakagawa, Kaya Kiyohara, Yume Miyamoto, Kazuyuki Okitsu, Lynn",0.0,0.0
81,Miracle in Cell No. 7,Drama,tr,8.3,2,12,2019-10-10,4392,Mehmet Ada Öztekin,"Aras Bulut İynemli, Nisa Sofiya Aksongur, İlker Aksum, Mesut Akusta, Yıldıray Şahinler",10000000.0,28000000.0
82,Given,"Animation, Drama, Music, Romance",ja,8.3,1,0,2020-08-22,377,Hikaru Yamaguchi,"Takuya Eguchi, Masatomo Nakazawa, Shogo Yano, Yuma Uchida, Shintaro Asanuma",0.0,0.0
83,The Legend of 1900,"Drama, Music",it,8.3,2,50,1998-10-28,2238,Giuseppe Tornatore,"Tim Roth, Pruitt Taylor Vince, Mélanie Thierry, Bill Nunn, Gabriele Lavia",9000000.0,21057208.0
84,Le Trou,"Drama, Thriller, Crime",fr,8.3,2,12,1960-03-18,469,Jacques Becker,"Michel Constantin, Jean Keraudy, Philippe Leroy, Raymond Meunier, Marc Michel",0.0,33187.0
85,We All Loved Each Other So Much,"Drama, Comedy",it,8.3,2,4,1974-12-21,548,Ettore Scola,"Nino Manfredi, Vittorio Gassman, Stefania Sandrelli, Stefano Satta Flores, Giovanna Ralli",0.0,0.0
86,Clouds,"Music, Drama, Romance",en,8.3,2,1,2020-10-09,1002,Justin Baldoni,"Fin Argus, Sabrina Carpenter, Madison Iseman, Neve Campbell, Tom Everett Scott",0.0,0.0
87,The Lion King,"Family, Animation, Drama",en,8.3,1,29,1994-06-24,18209,Roger Allers,"Matthew Broderick, Moira Kelly, Nathan Lane, Ernie Sabella, James Earl Jones",45000000.0,763455561.0
88,Oldboy,"Drama, Thriller, Mystery, Action",ko,8.3,2,0,2003-11-21,8630,Park Chan-wook,"Choi Min-sik, Yoo Ji-tae, Kang Hye-jung, Kim Byeong-ok, Ji Dae-han",3000000.0,17500000.0
89,Life in a Year,"Drama, Romance",en,8.3,1,47,2020-11-27,1872,Mitja Okorn,"Jaden Smith, Cara Delevingne, Cuba Gooding Jr., Chris D'Elia, JT Neal",0.0,0.0
90,Five Feet Apart,"Romance, Drama",en,8.3,1,56,2019-03-14,5581,Justin Baldoni,"Haley Lu Richardson, Cole Sprouse, Moisés Arias, Kimberly Hebert Gregory, Parminder Nagra",7000000.0,92600000.0
91,Come and See,"Drama, War",ru,8.3,2,22,1985-10-17,1475,Elem Klimov,"Aleksei Kravchenko, Olga Mironova, Liubomiras Laucevicius, Vladas Bagdonas, Jüri Lumiste",0.0,20929648.0
92,Avengers: Endgame,"Adventure, Science Fiction, Action",en,8.2,3,1,2019-04-24,25551,Joe Russo,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson",356000000.0,2799439100.0
93,Evangelion: 3.0+1.0 Thrice Upon a Time,"Animation, Action, Science Fiction, Drama",ja,8.2,2,35,2021-03-08,806,Kazuya Tsurumaki,"Megumi Ogata, Yuko Miyamura, Maaya Sakamoto, Megumi Hayashibara, Kotono Mitsuishi",29700000.0,93882453.0
94,Avengers: Infinity War,"Adventure, Action, Science Fiction",en,8.2,2,29,2018-04-25,29662,Anthony Russo,"Robert Downey Jr., Chris Evans, Chris Hemsworth, Josh Brolin, Mark Ruffalo",300000000.0,2052415039.0
95,Klaus,"Animation, Family, Adventure, Comedy, Fantasy",en,8.2,1,36,2019-11-08,3979,Sergio Pablos,"Jason Schwartzman, J.K. Simmons, Rashida Jones, Joan Cusack, Norm Macdonald",0.0,0.0
96,Green Book,"Drama, History",en,8.2,2,10,2018-11-16,11527,Peter Farrelly,"Viggo Mortensen, Mahershala Ali, Linda Cardellini, Sebastian Maniscalco, Dimiter D. Marinov",23000000.0,319700000.0
97,Mommy,Drama,fr,8.2,2,18,2014-09-19,2702,Xavier Dolan,"Anne Dorval, Suzanne Clément, Antoine Olivier Pilon, Patrick Huard, Alexandre Goyette",4900000.0,3494070.0
98,Rascal Does Not Dream of a Dreaming Girl,"Animation, Romance, Drama, Fantasy",ja,8.2,1,30,2019-06-15,520,Soichi Masui,"Kaito Ishikawa, Asami Seto, Yurika Kubo, Nao Toyama, Atsumi Tanezaki",0.0,0.0
99,Wolf Children,"Animation, Family, Drama, Fantasy",ja,8.2,1,57,2012-07-21,2275,Mamoru Hosoda,"Haru Kuroki, Yukito Nishii, Aoi Miyazaki, Takao Osawa, Momoka Ohno",0.0,55060661.0
100,Wolfwalkers,"Animation, Family, Adventure, Fantasy",en,8.2,1,43,2020-10-26,1182,Tomm Moore,"Honor Kneafsey, Eva Whittaker, Sean Bean, Simon McBurney, Tommy Tiernan",12000000.0,1310720.0
